date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-03-16,Asia,0.9317472525815944,0.06067232369612688
2020-03-16,Europe,86.35509343103894,3.9294899534767476
2020-03-16,Africa,NA,NA
2020-03-16,Oceania,NA,NA
2020-03-16,North America,6689.362638601312,81.85579156563291
2020-03-16,South America,17.23736968256361,0.6677915615521012
2020-03-17,Asia,1.0051000038716869,0.06868564946731344
2020-03-17,Europe,92.03455866744055,4.472159056363551
2020-03-17,Africa,NA,NA
2020-03-17,Oceania,NA,NA
2020-03-17,North America,9394.62945493436,99.30046845666944
2020-03-17,South America,27.963771639994235,0.7095285341491074
2020-03-18,Asia,1.0646275667433585,0.07590644851387716
2020-03-18,Europe,99.63015845605486,4.931748524606444
2020-03-18,Africa,NA,NA
2020-03-18,Oceania,NA,NA
2020-03-18,North America,12322.651376183723,130.16412757158022
2020-03-18,South America,39.399702131573974,0.7095285341491074
2020-03-19,Asia,1.1294386411125157,0.08365559871018946
2020-03-19,Europe,106.66718027557395,5.584012039151168
2020-03-19,Africa,NA,NA
2020-03-19,Oceania,NA,NA
2020-03-19,North America,16254.413167778876,162.36968490887838
2020-03-19,South America,51.04431748613874,0.9182133971341391
2020-03-20,Asia,1.1921363108826788,0.09070028070683699
2020-03-20,Europe,114.23626528717422,6.215063732084681
2020-03-20,Africa,NA,NA
2020-03-20,Oceania,NA,NA
2020-03-20,North America,22459.35054809833,241.54168002973648
2020-03-20,South America,64.19146385419573,1.2103722053131836
2020-03-21,Asia,1.2742949146685805,0.09695243597886166
2020-03-21,Europe,124.67424917169073,7.13424266857047
2020-03-21,Africa,NA,NA
2020-03-21,Oceania,NA,NA
2020-03-21,North America,30243.70213616778,328.7650644849191
2020-03-21,South America,75.08481370201437,1.3355831231042024
2020-03-22,Asia,1.3516983581067452,0.10294041567601207
2020-03-22,Europe,214.51161665057006,14.360403230789519
2020-03-22,Africa,NA,NA
2020-03-22,Oceania,NA,NA
2020-03-22,North America,39406.183198629114,444.1683116102376
2020-03-22,South America,115.94530987448356,2.212059547641335
2020-03-23,Asia,1.4269003384209575,0.10549411289979681
2020-03-23,Europe,221.47616474625087,15.200037836233266
2020-03-23,Africa,NA,NA
2020-03-23,Oceania,NA,NA
2020-03-23,North America,50668.73497912677,586.4095231833047
2020-03-23,South America,123.45796494194471,2.504218355820379
2020-03-24,Asia,1.576775947899634,0.10760751749879106
2020-03-24,Europe,228.22152401861578,16.064419566890095
2020-03-24,Africa,NA,NA
2020-03-24,Oceania,NA,NA
2020-03-24,North America,62843.77755084788,727.3088365339843
2020-03-24,South America,167.0313643332193,3.6728535885365563
2020-03-25,Asia,1.7499870664922053,0.10655081519929394
2020-03-25,Europe,239.37010392710783,17.261119836122557
2020-03-25,Africa,NA,NA
2020-03-25,Oceania,NA,NA
2020-03-25,North America,74565.25852340204,925.9097734473231
2020-03-25,South America,194.95339900061654,5.300595519819803
2020-03-26,Asia,1.9488232158475818,0.10945674652291104
2020-03-26,Europe,248.30381612902934,18.247469541043845
2020-03-26,Africa,NA,NA
2020-03-26,Oceania,NA,NA
2020-03-26,North America,86194.14851861146,1175.5028428113842
2020-03-26,South America,221.45637659971555,6.3440198347449615
2020-03-27,Asia,2.2589653407499894,0.11465219949543859
2020-03-27,Europe,257.61934111995265,19.433563899470702
2020-03-27,Africa,NA,NA
2020-03-27,Oceania,NA,NA
2020-03-27,North America,100796.68497463143,1500.242212629141
2020-03-27,South America,237.483374076966,7.1787592866850884
2020-03-28,Asia,2.6461586749907298,0.11720589671922332
2020-03-28,Europe,266.36391457917415,20.854755947421804
2020-03-28,Africa,NA,NA
2020-03-28,Oceania,NA,NA
2020-03-28,North America,118374.20978968429,1898.7859846782062
2020-03-28,South America,280.80635163265856,8.84823819056534
2020-03-29,Asia,3.036434057605003,0.12019988656779852
2020-03-29,Europe,355.596745142134,33.109885883298674
2020-03-29,Africa,NA,NA
2020-03-29,Oceania,NA,NA
2020-03-29,North America,136700.51381282936,2458.3575434137624
2020-03-29,South America,299.2958304931323,9.724714615102473
2020-03-30,Asia,3.4262691475944855,0.12345805199124801
2020-03-30,Europe,361.04111268901136,34.30305084892927
2020-03-30,Africa,NA,NA
2020-03-30,Oceania,NA,NA
2020-03-30,North America,152971.0297592769,3085.02401326869
2020-03-30,South America,330.4316120504991,11.644615354564763
2020-03-31,Asia,3.743808188593373,0.12698039298957178
2020-03-31,Europe,365.4195861999254,35.79494896891774
2020-03-31,Africa,NA,NA
2020-03-31,Oceania,NA,NA
2020-03-31,North America,175120.40181800374,3874.0601680324958
2020-03-31,South America,322.7937460652469,12.604565724295911
2020-04-01,Asia,4.191145495380492,0.13525789433563262
2020-04-01,Europe,369.48518534207403,37.24088814208193
2020-04-01,Africa,NA,NA
2020-04-01,Oceania,NA,NA
2020-04-01,North America,183352.94741235056,4551.718770338145
2020-04-01,South America,338.8624805150944,14.19057068298215
2020-04-02,Asia,4.514672516076529,0.14186228370748968
2020-04-02,Europe,373.72578201251525,38.70450383325545
2020-04-02,Africa,NA,NA
2020-04-02,Oceania,NA,NA
2020-04-02,North America,200802.99189627662,5648.049618028672
2020-04-02,South America,403.63826198564817,17.1538957373696
2020-04-03,Asia,4.7778794471762724,0.14608909290547822
2020-04-03,Europe,377.5456775543341,40.401449562152294
2020-04-03,Africa,NA,NA
2020-04-03,Oceania,NA,NA
2020-04-03,North America,220218.91727600028,6792.688801725144
2020-04-03,South America,463.2386588541732,20.20069473695106
2020-04-04,Asia,4.967293334361133,0.15295765785220955
2020-04-04,Europe,379.4370649813337,41.580473313375414
2020-04-04,Africa,NA,NA
2020-04-04,Oceania,NA,NA
2020-04-04,North America,236988.61936117592,8212.41712101104
2020-04-04,South America,479.39086724921464,22.204069421607365
2020-04-05,Asia,5.107130271994587,0.16026651542373138
2020-04-05,Europe,352.93289387812615,47.44200668527325
2020-04-05,Africa,NA,NA
2020-04-05,Oceania,NA,NA
2020-04-05,North America,253711.355008568,9491.246126946256
2020-04-05,South America,511.90396890228254,27.045558242860096
2020-04-06,Asia,5.340485363133537,0.17118577251853506
2020-04-06,Europe,354.7747870546996,48.60865687388983
2020-04-06,Africa,NA,NA
2020-04-06,Oceania,NA,NA
2020-04-06,North America,270010.05081768567,10909.632548009762
2020-04-06,South America,552.2218844309907,31.177518529963724
2020-04-07,Asia,5.521181456347546,0.17690957664081117
2020-04-07,Europe,355.89724594829283,49.7700041071036
2020-04-07,Africa,NA,NA
2020-04-07,Oceania,NA,NA
2020-04-07,North America,272362.39840153087,12635.313661999991
2020-04-07,South America,599.6350853011899,35.05905698148531
2020-04-08,Asia,5.6087996886808495,0.18351396601266823
2020-04-08,Europe,358.6777622311623,50.52479142610251
2020-04-08,Africa,NA,NA
2020-04-08,Oceania,NA,NA
2020-04-08,North America,290229.7732326194,14159.710042632107
2020-04-08,South America,627.014539324826,39.191017268588936
2020-04-09,Asia,5.774173598552149,0.1865079558612434
2020-04-09,Europe,363.51936051392113,51.47048513960231
2020-04-09,Africa,NA,NA
2020-04-09,Oceania,NA,NA
2020-04-09,North America,298626.0304100975,15755.227029050755
2020-04-09,South America,661.0301719913862,43.94903214464765
2020-04-10,Asia,5.869452922556808,0.19117505768402243
2020-04-10,Europe,364.7637873817788,52.391431727889035
2020-04-10,Africa,NA,NA
2020-04-10,Oceania,NA,NA
2020-04-10,North America,307236.99130315764,17360.137303026113
2020-04-10,South America,777.6850104000188,49.333101609661476
2020-04-11,Asia,6.056313112517884,0.1959302180317595
2020-04-11,Europe,366.50315675389805,52.812132856511376
2020-04-11,Africa,NA,NA
2020-04-11,Oceania,NA,NA
2020-04-11,North America,313813.63449107844,18640.308207183716
2020-04-11,South America,952.2707667732964,58.30655071801784
2020-04-12,Asia,6.349988293253128,0.202006256253868
2020-04-12,Europe,329.2304508793993,50.71746547240434
2020-04-12,Africa,NA,NA
2020-04-12,Oceania,NA,NA
2020-04-12,North America,316127.0670264743,19892.299248671185
2020-04-12,South America,998.0979626848092,61.81245641616637
2020-04-13,Asia,6.509726457527111,0.20808229447597648
